Status,Date,Original Description,Custom Description,Merchant,Geo,High Level Category,Category-Subcategory,Tag,Currency,Amount,Split Type,Note,Account Name,Account Number,Simple Description
pending,12/12/2017,Pending* ALDI x6070 LYNCHBURG VA ALDI x6070 LYNCHBURG VA,-,ALDI,Lynchburg-VA-US-,Home/Utilities,Groceries,-,$,-42.30,-,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,ALDI Lynchburg VA
pending,12/12/2017,Pending* LIBERTY CHICK FIL A LYNCHBURG VA LIBERTY CHICK FIL A LYNCHBURG VA,-,-,Lynchburg-VA-US-,Home/Utilities,J Food,-,$,-4.97,-,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,Pending* LIBERTY CHICK FIL A LYNCHBURG VA LIBERTY CHICK FIL A LYNCHBURG VA
pending,12/11/2017,Pending* MARATHON PETROxx2796 GOODE VA MARATHON PETROxx2796 GOODE VA,-,Marathon Petroleum Corporation,Goode-VA-US-,Automotive Expenses,Automotive/Fuel,-,$,-22.28,-,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,Marathon Petroleum Corporation Goode VA
posted,12/11/2017,CHECK,-,-,-,Miscellaneous Expenses,Check Payment,-,$,-767.00,-,-,BB&T - Bank - xxxxxxxxxxxxxxxx3744,x3744,Payment by Check
posted,12/11/2017,CHECK,-,-,-,Miscellaneous Expenses,Check Payment,-,$,-50.00,-,-,BB&T - Bank - xxxxxxxxxxxxxxxx3744,x3744,Payment by Check
posted,12/11/2017,MOBILE DEPOSIT,-,-,-,Income,Deposits,-,$,26.00,-,-,BB&T - Bank - xxxxxxxxxxxxxxxx3744,x3744,Mobile/Remote Deposit
posted,12/11/2017,MOBILE DEPOSIT,-,-,-,Income,Deposits,-,$,46.00,-,-,BB&T - Bank - xxxxxxxxxxxxxxxx3744,x3744,Mobile/Remote Deposit
posted,12/10/2017,AMAZON MKTPLACE PMTS AMZN.COM/BILL WA,-,Amazon,-,Giving,Gifts,-,$,-23.99,-,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,AMAZON MKTPLACE PMTS AMZN.COM/BILL WA
posted,12/09/2017,WM SUPERCENTER #1399 BEDFORD VA,-,Walmart,Bedford-VA-US-,Home/Utilities,Groceries,-,$,-3.12,Split,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,WM SUPERCENTER #1399 BEDFORD VA
posted,12/09/2017,BOOTLEGGERS LYNCHBURG VA,Bootleggers,-,Lynchburg-VA-US-,Home/Utilities,J Food,-,$,-45.91,-,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,Bootleggers
posted,12/09/2017,WM SUPERCENTER #1399 BEDFORD VA,WM SUPERCENTER #1399 BEDFORD VA,Walmart,Bedford-VA-US-,Miscellaneous Expenses,Other Expenses - Misc,-,$,-8.41,Parent,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,WM SUPERCENTER #1399 BEDFORD VA
posted,12/09/2017,MURPHY7480ATWALMART BEDFORD VA,-,Murphy Oil,Bedford-VA-US-,Automotive Expenses,Automotive/Fuel,-,$,-32.77,-,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,MURPHY7480ATWALMART BEDFORD VA
posted,12/08/2017,CHECK,-,-,-,Miscellaneous Expenses,Check Payment,-,$,-75.28,-,-,BB&T - Bank - xxxxxxxxxxxxxxxx3744,x3744,CHECK
posted,12/08/2017,WAL-MART #3243 ROANOKE VA,-,Walmart,Roanoke-VA-US-,Home/Utilities,Electronics/General Merchandise,-,$,-28.93,-,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,Walmart Roanoke VA
